prompt_id,model,dataset,weight,score,cost
MMLU-Pro_553,internlm3-8b-instruct,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_588,MiMo-7B-RL-0530,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_589,MiniCPM4.1-8B,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_62,internlm3-8b-instruct,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_64,Llama-3.1-Nemotron-Nano-8B-v1,MMLU-Pro,0.004166666666666667,1.0,4.9e-06
MMLU-Pro_643,glm-4-9b-chat,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_670,internlm3-8b-instruct,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_684,deepseek-v3-0324,MMLU-Pro,0.004166666666666667,1.0,0.0004044
MMLU-Pro_685,internlm3-8b-instruct,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_696,glm-4-9b-chat,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_77,granite-3.3-8b-instruct,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_789,Qwen2.5-Coder-7B-Instruct,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_81,internlm3-8b-instruct,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_83,gemma-2-9b-it,MMLU-Pro,0.004166666666666667,1.0,2.1e-05
MMLU-Pro_89,qwen3-235b-a22b-2507,MMLU-Pro,0.004166666666666667,1.0,0.0002734
MMLU-Pro_90,internlm3-8b-instruct,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_95,internlm3-8b-instruct,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_97,internlm3-8b-instruct,MMLU-Pro,0.004166666666666667,1.0,0.0
MMLU-Pro_997,internlm3-8b-instruct,MMLU-Pro,0.004166666666666667,0.0,0.0
